method,seed,success,success_ci95,success_probability,success_probability_ci95,utility,utility_ci95,mechanism_recall,mechanism_recall_ci95,rare_mechanism_recall,rare_mechanism_recall_ci95,coverage_false_negative,coverage_false_negative_ci95,tail_mechanism_failure,tail_mechanism_failure_ci95,unsafe_deployment_failure,unsafe_deployment_failure_ci95,redundancy_rate,redundancy_rate_ci95,selection_cost,selection_cost_ci95,annotation_burden,annotation_burden_ci95,label_noise_risk,label_noise_risk_ci95,schema_mismatch_rate,schema_mismatch_rate_ci95,provenance_risk,provenance_risk_ci95,calibration_ece,calibration_ece_ci95,audit_risk_score,audit_risk_score_ci95,regret_to_oracle,regret_to_oracle_ci95,groups
value_of_information_active_selection,2,0.54375,0.021348,0.548514,0.003331,0.565795,0.021443,0.481469,0.001168,0.410959,0.001169,0.063593,0.002617,0.083025,0.001993,0.040917,0.001186,0.153119,0.000375,0.262446,0.000218,0.181366,0.000428,0.044698,0.001284,0.063844,0.001547,0.052677,0.001198,0.040056,0.000449,0.14632,0.00452,0.26613,0.023118,320
value_of_information_active_selection,3,0.551042,0.021201,0.548405,0.003312,0.573153,0.021199,0.482209,0.00106,0.411708,0.001204,0.063844,0.00265,0.082789,0.001929,0.040973,0.001197,0.15327,0.000371,0.262446,0.000218,0.181366,0.000428,0.04483,0.001305,0.063682,0.001519,0.05217,0.001222,0.039921,0.000436,0.146422,0.004506,0.26224,0.023733,320
value_of_information_active_selection,4,0.534375,0.023812,0.548254,0.003311,0.556055,0.023811,0.48178,0.001109,0.411871,0.001143,0.063981,0.00263,0.082973,0.001895,0.041002,0.001187,0.153448,0.000378,0.262446,0.000218,0.181366,0.000428,0.045019,0.001293,0.063969,0.001526,0.052395,0.001244,0.039981,0.000449,0.146711,0.004463,0.287646,0.025103,320
value_of_information_active_selection,5,0.550521,0.021776,0.548102,0.003321,0.57272,0.021927,0.482318,0.001107,0.411934,0.001179,0.064366,0.002639,0.082795,0.001942,0.040959,0.001197,0.153542,0.000384,0.262446,0.000218,0.181366,0.000428,0.044811,0.001278,0.063763,0.001518,0.05236,0.00125,0.040087,0.00044,0.146942,0.00451,0.262681,0.023963,320
value_of_information_active_selection,6,0.538021,0.022362,0.548694,0.00333,0.559886,0.022328,0.482145,0.001155,0.41128,0.0012,0.063975,0.002654,0.082732,0.001898,0.040874,0.001198,0.153476,0.000378,0.262446,0.000218,0.181366,0.000428,0.044906,0.00128,0.063772,0.001538,0.052556,0.00121,0.039838,0.000434,0.146461,0.004482,0.280682,0.024614,320
value_of_information_active_selection,7,0.533333,0.023072,0.548978,0.003376,0.555371,0.023101,0.481817,0.001102,0.412774,0.001155,0.06399,0.002644,0.082623,0.001988,0.040709,0.001165,0.153343,0.000404,0.262446,0.000218,0.181366,0.000428,0.044574,0.001294,0.063888,0.001505,0.052537,0.001232,0.040034,0.000417,0.146312,0.004525,0.28496,0.025153,320
value_of_information_active_selection,8,0.558854,0.023384,0.548303,0.00332,0.580136,0.023269,0.482432,0.00106,0.4107,0.001156,0.064312,0.002591,0.083004,0.001947,0.040935,0.001178,0.153208,0.000377,0.262446,0.000218,0.181366,0.000428,0.044875,0.001288,0.063916,0.001505,0.052206,0.001191,0.039982,0.000435,0.147033,0.004452,0.266724,0.024671,320
value_of_information_active_selection,9,0.535417,0.021774,0.548744,0.003382,0.557588,0.021896,0.482375,0.001085,0.412037,0.001102,0.063859,0.002641,0.082737,0.001978,0.040823,0.00124,0.152957,0.000384,0.262446,0.000218,0.181366,0.000428,0.044511,0.001252,0.063935,0.001498,0.052418,0.001242,0.039894,0.000436,0.146322,0.004554,0.274996,0.02537,320
dataset_card_compliance_selection,0,0.509375,0.022377,0.520075,0.003721,0.518208,0.022386,0.418662,0.001125,0.321794,0.001272,0.077029,0.003076,0.102716,0.002661,0.040231,0.001157,0.15127,0.000389,0.220442,0.000218,0.146301,0.000301,0.039388,0.000923,0.05868,0.001068,0.041454,0.00075,0.042265,0.00042,0.174181,0.005447,0.31939,0.024911,320
dataset_card_compliance_selection,1,0.521354,0.021343,0.520048,0.003708,0.53,0.02148,0.41824,0.001141,0.322958,0.001217,0.077104,0.003049,0.103382,0.002652,0.040523,0.001161,0.150673,0.000372,0.220442,0.000218,0.146301,0.000301,0.039328,0.000904,0.058887,0.001063,0.041694,0.000729,0.042522,0.000421,0.174902,0.005417,0.304183,0.024112,320
dataset_card_compliance_selection,2,0.513021,0.022564,0.519711,0.003731,0.521827,0.022642,0.418769,0.001039,0.321763,0.001172,0.076809,0.003081,0.102981,0.002695,0.040229,0.001138,0.150835,0.00035,0.220442,0.000218,0.146301,0.000301,0.039513,0.000888,0.058817,0.001104,0.04141,0.000738,0.042354,0.000442,0.174159,0.005458,0.30898,0.025056,320
dataset_card_compliance_selection,3,0.511979,0.022103,0.519926,0.003702,0.520584,0.022205,0.418197,0.001104,0.322186,0.001223,0.076589,0.003088,0.102793,0.002681,0.040183,0.001132,0.150833,0.000374,0.220442,0.000218,0.146301,0.000301,0.039519,0.000877,0.059013,0.001093,0.041579,0.000733,0.042507,0.000438,0.173775,0.005451,0.308724,0.025035,320
dataset_card_compliance_selection,4,0.521354,0.022902,0.519991,0.003718,0.530102,0.022994,0.419074,0.001094,0.321738,0.001265,0.076741,0.003058,0.102505,0.002669,0.040431,0.001163,0.150592,0.000402,0.220442,0.000218,0.146301,0.000301,0.039394,0.000911,0.059004,0.001093,0.04152,0.000725,0.042275,0.000423,0.173835,0.005435,0.305403,0.024749,320
dataset_card_compliance_selection,5,0.508854,0.022168,0.519505,0.003752,0.517681,0.02239,0.418978,0.001105,0.321536,0.001231,0.076709,0.00307,0.102592,0.002683,0.040518,0.001116,0.151075,0.000367,0.220442,0.000218,0.146301,0.000301,0.039611,0.000893,0.058771,0.001047,0.041673,0.000741,0.042361,0.000442,0.173912,0.005438,0.306878,0.025164,320
dataset_card_compliance_selection,6,0.521875,0.023326,0.520067,0.003777,0.5307,0.023381,0.419502,0.001174,0.322053,0.001215,0.077014,0.003064,0.102545,0.002661,0.040199,0.001159,0.150779,0.000382,0.220442,0.000218,0.146301,0.000301,0.039271,0.000912,0.059058,0.001058,0.041524,0.000757,0.042215,0.000446,0.174023,0.005437,0.304794,0.025618,320
dataset_card_compliance_selection,7,0.520312,0.020249,0.520246,0.003756,0.529118,0.020345,0.418281,0.001163,0.321147,0.001188,0.076571,0.003063,0.102551,0.002637,0.040492,0.001159,0.150409,0.000414,0.220442,0.000218,0.146301,0.000301,0.039553,0.000903,0.058831,0.001092,0.041637,0.000723,0.042278,0.00043,0.17373,0.005405,0.302097,0.023357,320
dataset_card_compliance_selection,8,0.496354,0.023154,0.520381,0.003638,0.505173,0.023305,0.41873,0.001158,0.321739,0.001162,0.076635,0.003086,0.102931,0.002673,0.04071,0.001117,0.150757,0.000374,0.220442,0.000218,0.146301,0.000301,0.039644,0.000876,0.059046,0.001089,0.041262,0.000743,0.042316,0.000444,0.174188,0.005436,0.332026,0.025484,320
dataset_card_compliance_selection,9,0.516667,0.022512,0.520265,0.003654,0.525337,0.022697,0.41886,0.00114,0.320984,0.001203,0.077281,0.003012,0.102892,0.002662,0.04031,0.001138,0.15098,0.000385,0.220442,0.000218,0.146301,0.000301,0.039372,0.00088,0.059027,0.001069,0.041531,0.00073,0.042297,0.000415,0.174605,0.005368,0.299757,0.024072,320
safety_event_mining_selection,0,0.536458,0.023993,0.552116,0.003202,0.565152,0.023865,0.483625,0.001115,0.451976,0.001212,0.055369,0.002511,0.06462,0.001302,0.037466,0.001015,0.161145,0.000362,0.256177,0.000218,0.177122,0.000411,0.04437,0.001219,0.061271,0.001481,0.051216,0.001163,0.037023,0.000409,0.122567,0.00382,0.284229,0.025876,320
safety_event_mining_selection,1,0.55,0.022241,0.551234,0.003193,0.578996,0.022164,0.483509,0.001107,0.451436,0.0012,0.055514,0.002494,0.064427,0.001353,0.037359,0.001056,0.161267,0.00037,0.256177,0.000218,0.177122,0.000411,0.044228,0.001204,0.061031,0.001505,0.051045,0.001155,0.036961,0.00039,0.122513,0.003861,0.266238,0.024776,320
safety_event_mining_selection,2,0.5625,0.022563,0.551394,0.00318,0.59119,0.022456,0.483774,0.001133,0.450298,0.001224,0.055897,0.002479,0.064341,0.001342,0.037536,0.001013,0.161389,0.000355,0.256177,0.000218,0.177122,0.000411,0.043902,0.001247,0.060943,0.001506,0.050988,0.001161,0.037283,0.000411,0.12292,0.003794,0.247677,0.023328,320
safety_event_mining_selection,3,0.566667,0.022651,0.55172,0.003157,0.595069,0.0224,0.48444,0.00109,0.451074,0.001178,0.054976,0.002514,0.06488,0.00131,0.037513,0.001065,0.16139,0.000387,0.256177,0.000218,0.177122,0.000411,0.044081,0.001227,0.060938,0.001524,0.05095,0.001149,0.037102,0.000413,0.122393,0.003836,0.241683,0.023296,320
safety_event_mining_selection,4,0.549479,0.024767,0.551725,0.003209,0.57797,0.024539,0.483772,0.00119,0.452186,0.001185,0.0556,0.00258,0.064444,0.001317,0.037339,0.001034,0.161457,0.000353,0.256177,0.000218,0.177122,0.000411,0.044405,0.001215,0.060876,0.001489,0.050949,0.001153,0.036705,0.000409,0.122602,0.00391,0.26808,0.024909,320
safety_event_mining_selection,5,0.552083,0.021994,0.552436,0.003196,0.581295,0.021861,0.484557,0.00112,0.452522,0.001172,0.054789,0.002521,0.064457,0.001299,0.037348,0.001045,0.161274,0.000388,0.256177,0.000218,0.177122,0.000411,0.044211,0.001209,0.060914,0.001521,0.051023,0.001157,0.036852,0.000412,0.121806,0.00385,0.253479,0.022495,320
safety_event_mining_selection,6,0.557292,0.021451,0.551942,0.003154,0.586683,0.021449,0.484585,0.001059,0.451943,0.001209,0.055282,0.002538,0.064609,0.001329,0.037552,0.001041,0.161563,0.000393,0.256177,0.000218,0.177122,0.000411,0.043888,0.001223,0.061285,0.001505,0.050903,0.001128,0.037209,0.000415,0.122516,0.003863,0.256566,0.023166,320
safety_event_mining_selection,7,0.56875,0.022296,0.551289,0.003106,0.59794,0.022178,0.484305,0.001162,0.452008,0.001134,0.055377,0.002534,0.064274,0.001282,0.037367,0.00104,0.161358,0.00041,0.256177,0.000218,0.177122,0.000411,0.044274,0.00121,0.061068,0.001501,0.050872,0.001163,0.036827,0.000408,0.122266,0.003843,0.246847,0.02341,320
safety_event_mining_selection,8,0.521354,0.022113,0.552433,0.003184,0.551014,0.022058,0.484117,0.00111,0.451191,0.001212,0.055255,0.002512,0.064305,0.001347,0.037292,0.001047,0.16143,0.000347,0.256177,0.000218,0.177122,0.000411,0.044221,0.001188,0.061385,0.0015,0.051068,0.001149,0.036972,0.000407,0.12213,0.003875,0.293033,0.023611,320
safety_event_mining_selection,9,0.554688,0.022226,0.550962,0.00318,0.583672,0.022161,0.485137,0.001102,0.451494,0.001188,0.055317,0.002546,0.064498,0.001308,0.03725,0.001032,0.16161,0.000381,0.256177,0.000218,0.177122,0.000411,0.043761,0.001233,0.06114,0.00149,0.050878,0.001177,0.037157,0.000405,0.122315,0.003855,0.246199,0.022329,320
label_quality_first_selection,0,0.540104,0.021797,0.530593,0.003622,0.55146,0.021868,0.417262,0.00118,0.332419,0.001202,0.067017,0.002948,0.099551,0.002584,0.039067,0.001078,0.149705,0.000385,0.230471,0.000218,0.140899,0.000223,0.033517,0.000522,0.061559,0.001328,0.035669,0.000697,0.03997,0.000408,0.161213,0.005204,0.292447,0.024087,320
label_quality_first_selection,1,0.534896,0.02147,0.529787,0.003597,0.546365,0.021528,0.417757,0.001098,0.332938,0.001153,0.066857,0.00291,0.099158,0.002558,0.03918,0.001069,0.149956,0.000385,0.230471,0.000218,0.140899,0.000223,0.033569,0.000521,0.061595,0.001335,0.036155,0.000645,0.039838,0.000422,0.160815,0.005155,0.292803,0.024352,320
label_quality_first_selection,2,0.510938,0.022438,0.530651,0.003676,0.52243,0.022513,0.417228,0.001129,0.333308,0.001236,0.066491,0.003006,0.099132,0.002603,0.039185,0.001092,0.150059,0.000372,0.230471,0.000218,0.140899,0.000223,0.03358,0.000548,0.061623,0.001339,0.036323,0.000667,0.039749,0.000431,0.160432,0.005281,0.3083,0.025059,320
label_quality_first_selection,3,0.520312,0.021887,0.530187,0.003582,0.531523,0.02184,0.416805,0.001121,0.332556,0.001162,0.066355,0.002906,0.099091,0.002611,0.03926,0.001063,0.149492,0.000387,0.230471,0.000218,0.140899,0.000223,0.033564,0.000518,0.061308,0.001311,0.035825,0.000665,0.039715,0.000396,0.160304,0.005192,0.29381,0.023663,320
label_quality_first_selection,4,0.516667,0.023556,0.529903,0.0036,0.528161,0.02361,0.417661,0.001101,0.33303,0.001184,0.066714,0.002914,0.099233,0.002533,0.039048,0.001083,0.149752,0.00038,0.230471,0.000218,0.140899,0.000223,0.033776,0.000575,0.061468,0.001378,0.036179,0.000661,0.039807,0.000419,0.160663,0.005144,0.312518,0.024512,320
label_quality_first_selection,5,0.534375,0.023008,0.530049,0.003624,0.545733,0.02305,0.417427,0.001132,0.333143,0.001246,0.066984,0.002956,0.099737,0.002545,0.039312,0.001085,0.149914,0.000358,0.230471,0.000218,0.140899,0.000223,0.033694,0.000513,0.06142,0.001345,0.036073,0.000647,0.039949,0.000419,0.161443,0.005194,0.290069,0.024049,320
label_quality_first_selection,6,0.529167,0.023185,0.530535,0.003642,0.540494,0.023303,0.417939,0.001077,0.333073,0.001226,0.066764,0.002934,0.099728,0.002541,0.039169,0.001098,0.149702,0.000357,0.230471,0.000218,0.140899,0.000223,0.03382,0.000541,0.061143,0.001365,0.035731,0.000666,0.039844,0.000432,0.161144,0.005181,0.300032,0.025484,320
label_quality_first_selection,7,0.533854,0.023843,0.529633,0.003635,0.545142,0.023855,0.417591,0.0011,0.333232,0.001094,0.066893,0.002954,0.09953,0.002538,0.038956,0.001085,0.149508,0.000381,0.230471,0.000218,0.140899,0.000223,0.033693,0.000532,0.06165,0.001345,0.036046,0.00066,0.039692,0.00041,0.161018,0.005176,0.294673,0.024993,320
label_quality_first_selection,8,0.535417,0.021436,0.530727,0.00358,0.547024,0.021424,0.417786,0.001054,0.33369,0.001189,0.066274,0.002968,0.09941,0.002593,0.039261,0.001102,0.150007,0.000376,0.230471,0.000218,0.140899,0.000223,0.033791,0.000547,0.061467,0.001347,0.036198,0.000685,0.039727,0.0004,0.160462,0.005245,0.293304,0.023976,320
label_quality_first_selection,9,0.529167,0.022913,0.530558,0.003646,0.54068,0.02301,0.417254,0.001213,0.332206,0.001141,0.066429,0.003012,0.09957,0.002576,0.038822,0.001094,0.14933,0.000411,0.230471,0.000218,0.140899,0.000223,0.033313,0.00055,0.061529,0.00133,0.036097,0.000702,0.039994,0.00043,0.160518,0.005277,0.286776,0.025242,320
domain_mix_robust_selection,0,0.544271,0.023099,0.554674,0.00321,0.570331,0.023063,0.499185,0.001094,0.404865,0.001147,0.06091,0.002493,0.086638,0.002097,0.039419,0.001073,0.148516,0.000368,0.243553,0.000218,0.16258,0.00039,0.043503,0.001168,0.053173,0.001078,0.049312,0.001093,0.034766,0.000372,0.145598,0.004423,0.276166,0.02447,320
domain_mix_robust_selection,1,0.546354,0.021158,0.554565,0.003137,0.573167,0.021238,0.498814,0.001111,0.405921,0.001152,0.061198,0.002517,0.086805,0.002071,0.039592,0.001079,0.148786,0.000378,0.243553,0.000218,0.16258,0.00039,0.04336,0.001165,0.053173,0.001127,0.048968,0.001077,0.034667,0.000375,0.146099,0.004419,0.270118,0.023565,320
domain_mix_robust_selection,2,0.558854,0.022519,0.554238,0.003204,0.585015,0.022368,0.499572,0.001147,0.406365,0.00123,0.061116,0.002465,0.087062,0.002055,0.039507,0.001096,0.149064,0.000373,0.243553,0.000218,0.16258,0.00039,0.043167,0.001158,0.052995,0.001132,0.049366,0.001055,0.034904,0.000374,0.146166,0.004359,0.253398,0.022596,320
domain_mix_robust_selection,3,0.564063,0.02144,0.554469,0.003205,0.59024,0.02132,0.499095,0.001044,0.405749,0.001161,0.061372,0.002493,0.086854,0.002066,0.039566,0.001077,0.148961,0.000363,0.243553,0.000218,0.16258,0.00039,0.04333,0.001157,0.053326,0.001101,0.049184,0.001085,0.034818,0.000391,0.146296,0.004395,0.249663,0.023505,320
domain_mix_robust_selection,4,0.564583,0.022165,0.554642,0.003252,0.590703,0.022081,0.498556,0.001052,0.405793,0.00114,0.060928,0.002525,0.087445,0.002109,0.039482,0.001083,0.148911,0.000363,0.243553,0.000218,0.16258,0.00039,0.043384,0.001158,0.052982,0.001138,0.04934,0.001113,0.034793,0.000359,0.146252,0.004457,0.252663,0.023372,320
domain_mix_robust_selection,5,0.559896,0.023664,0.554564,0.003215,0.585373,0.023548,0.49917,0.001168,0.406088,0.001242,0.061145,0.00248,0.087152,0.002061,0.039608,0.001062,0.14884,0.000396,0.243553,0.000218,0.16258,0.00039,0.043352,0.001151,0.053268,0.001111,0.049121,0.001061,0.034886,0.000396,0.146313,0.004372,0.255629,0.023557,320
domain_mix_robust_selection,6,0.564583,0.023581,0.55382,0.003245,0.590506,0.023472,0.498245,0.001083,0.405175,0.001228,0.061194,0.002502,0.086623,0.002094,0.039188,0.001116,0.148906,0.000357,0.243553,0.000218,0.16258,0.00039,0.04323,0.00116,0.053209,0.001128,0.049297,0.001087,0.034765,0.00037,0.145754,0.004442,0.253864,0.023992,320
domain_mix_robust_selection,7,0.549479,0.02209,0.554302,0.003197,0.575252,0.022018,0.499298,0.001148,0.405435,0.001207,0.061151,0.002514,0.086711,0.002113,0.039227,0.001105,0.148824,0.000383,0.243553,0.000218,0.16258,0.00039,0.043243,0.001189,0.053341,0.001139,0.04937,0.001048,0.034899,0.000361,0.145797,0.00447,0.263155,0.023029,320
domain_mix_robust_selection,8,0.561458,0.023371,0.554415,0.003206,0.587213,0.023276,0.498306,0.001049,0.405869,0.001227,0.061166,0.002473,0.086432,0.002101,0.039288,0.001087,0.148684,0.000368,0.243553,0.000218,0.16258,0.00039,0.042903,0.001174,0.053233,0.001115,0.04912,0.001065,0.034925,0.00038,0.145634,0.004412,0.262189,0.023881,320
domain_mix_robust_selection,9,0.564063,0.022206,0.554153,0.003199,0.589997,0.022024,0.498885,0.001082,0.40625,0.001192,0.061216,0.002487,0.08673,0.002076,0.039325,0.001083,0.148422,0.000389,0.243553,0.000218,0.16258,0.00039,0.043398,0.00113,0.053066,0.001111,0.049307,0.001083,0.034758,0.000381,0.145927,0.004402,0.249445,0.022803,320
causal_feature_coverage_selection,0,0.570833,0.022265,0.570014,0.002921,0.608182,0.022135,0.543419,0.001108,0.44374,0.001187,0.049638,0.002122,0.078461,0.0018,0.037263,0.000988,0.141402,0.000364,0.244743,0.000218,0.163811,0.00036,0.041685,0.001035,0.053815,0.001116,0.047146,0.001025,0.035002,0.000346,0.127115,0.003791,0.236608,0.022853,320
causal_feature_coverage_selection,1,0.554688,0.022226,0.569626,0.002875,0.592136,0.022078,0.54214,0.001153,0.444379,0.001151,0.049941,0.002137,0.078557,0.001774,0.037208,0.000991,0.141453,0.000398,0.244743,0.000218,0.163811,0.00036,0.041479,0.001054,0.053765,0.001099,0.046847,0.000977,0.034997,0.000354,0.127463,0.003777,0.250983,0.02382,320
causal_feature_coverage_selection,2,0.580729,0.023043,0.569265,0.002885,0.617551,0.022841,0.541778,0.001136,0.443932,0.00119,0.049235,0.002089,0.078781,0.001786,0.037031,0.000976,0.14149,0.000374,0.244743,0.000218,0.163811,0.00036,0.041601,0.001067,0.053603,0.001053,0.047194,0.000986,0.034984,0.000354,0.126837,0.003742,0.231039,0.022873,320
causal_feature_coverage_selection,3,0.581771,0.021299,0.569989,0.002976,0.61869,0.021063,0.542424,0.001084,0.444196,0.001255,0.049447,0.002107,0.07924,0.001795,0.037272,0.000982,0.1415,0.000395,0.244743,0.000218,0.163811,0.00036,0.041562,0.001055,0.053507,0.001064,0.047091,0.000946,0.034895,0.000354,0.127512,0.003765,0.220909,0.021707,320
causal_feature_coverage_selection,4,0.576562,0.023258,0.569631,0.002988,0.613704,0.023199,0.542898,0.001212,0.442572,0.001205,0.049396,0.002108,0.078501,0.001824,0.036992,0.000973,0.141612,0.000368,0.244743,0.000218,0.163811,0.00036,0.041915,0.001047,0.053575,0.001123,0.047111,0.001011,0.034884,0.000361,0.126768,0.003794,0.245296,0.02389,320
causal_feature_coverage_selection,5,0.559896,0.021873,0.569339,0.002919,0.597436,0.021815,0.542077,0.001094,0.4428,0.001139,0.049693,0.002099,0.07846,0.001811,0.037158,0.000985,0.141416,0.000396,0.244743,0.000218,0.163811,0.00036,0.041477,0.001023,0.053769,0.001091,0.047156,0.001005,0.034857,0.000363,0.127116,0.003761,0.241363,0.02345,320
causal_feature_coverage_selection,6,0.572917,0.022042,0.569749,0.002927,0.609743,0.02183,0.543222,0.001155,0.444217,0.001205,0.049543,0.002177,0.079073,0.001827,0.03701,0.000979,0.14191,0.000381,0.244743,0.000218,0.163811,0.00036,0.041576,0.001058,0.053662,0.001097,0.047034,0.000998,0.034867,0.000359,0.127353,0.003865,0.235498,0.023113,320
causal_feature_coverage_selection,7,0.581771,0.021495,0.569684,0.002915,0.618793,0.021238,0.542191,0.001151,0.443989,0.001337,0.049244,0.002136,0.078334,0.001784,0.03739,0.001001,0.141579,0.00037,0.244743,0.000218,0.163811,0.00036,0.041394,0.00103,0.053615,0.001124,0.047237,0.000998,0.035101,0.000366,0.126689,0.003787,0.228362,0.022075,320
causal_feature_coverage_selection,8,0.565625,0.021698,0.569393,0.002932,0.603097,0.021603,0.542579,0.00107,0.442731,0.001156,0.049268,0.002076,0.078485,0.001815,0.037194,0.000973,0.141424,0.000415,0.244743,0.000218,0.163811,0.00036,0.04156,0.001071,0.053677,0.001038,0.046976,0.000991,0.035126,0.00036,0.126729,0.003741,0.242553,0.022351,320
causal_feature_coverage_selection,9,0.580208,0.023042,0.569968,0.002905,0.61651,0.022758,0.542727,0.00106,0.442165,0.001177,0.049595,0.002152,0.078626,0.00177,0.037311,0.000988,0.141605,0.000378,0.244743,0.000218,0.163811,0.00036,0.041682,0.001044,0.053851,0.001096,0.047043,0.001042,0.034856,0.000357,0.12722,0.003793,0.22617,0.02334,320
proposed_mechanism_coverage_audit_v4,0,0.578646,0.020081,0.593348,0.002544,0.631819,0.01982,0.596112,0.001152,0.495196,0.001162,0.036336,0.001711,0.06828,0.001399,0.034838,0.000871,0.123817,0.00037,0.231206,0.000218,0.151303,0.000347,0.04111,0.000987,0.05236,0.001048,0.045888,0.000947,0.033386,0.000322,0.104965,0.003023,0.218667,0.020767,320
proposed_mechanism_coverage_audit_v4,1,0.578646,0.023084,0.594138,0.002541,0.630369,0.02249,0.596576,0.001131,0.495913,0.001158,0.036314,0.00177,0.068154,0.001447,0.034984,0.00087,0.12392,0.00035,0.231206,0.000218,0.151303,0.000347,0.040809,0.001002,0.052432,0.001063,0.045846,0.000947,0.033332,0.000349,0.104921,0.003123,0.224009,0.022039,320
proposed_mechanism_coverage_audit_v4,2,0.564583,0.021052,0.593909,0.002544,0.617918,0.02083,0.596274,0.001124,0.495207,0.001093,0.036492,0.001688,0.068336,0.001434,0.034576,0.000878,0.124,0.00042,0.231206,0.000218,0.151303,0.000347,0.040786,0.000968,0.052159,0.00104,0.045798,0.000916,0.033408,0.000313,0.105032,0.003019,0.230001,0.022869,320
proposed_mechanism_coverage_audit_v4,3,0.571354,0.023323,0.593935,0.002641,0.624142,0.022999,0.59601,0.00111,0.496254,0.001123,0.03652,0.001718,0.068052,0.001404,0.034716,0.000887,0.123752,0.000366,0.231206,0.000218,0.151303,0.000347,0.041037,0.001019,0.052306,0.001055,0.046081,0.00094,0.033411,0.000339,0.104917,0.003046,0.225048,0.022934,320
proposed_mechanism_coverage_audit_v4,4,0.5875,0.022067,0.593749,0.0026,0.639314,0.021444,0.595626,0.001077,0.496337,0.001182,0.036105,0.001726,0.068261,0.001397,0.034619,0.000871,0.123721,0.000377,0.231206,0.000218,0.151303,0.000347,0.040717,0.000984,0.052533,0.001035,0.045856,0.000966,0.033352,0.000325,0.10461,0.003057,0.214921,0.022156,320
proposed_mechanism_coverage_audit_v4,5,0.590104,0.022435,0.593268,0.00256,0.642326,0.022027,0.595484,0.00105,0.496214,0.001185,0.036585,0.00173,0.068163,0.001451,0.035025,0.000885,0.123907,0.000384,0.231206,0.000218,0.151303,0.000347,0.041017,0.000999,0.052249,0.001027,0.04619,0.000922,0.033068,0.000349,0.10522,0.003082,0.209128,0.022029,320
proposed_mechanism_coverage_audit_v4,6,0.586979,0.02295,0.594531,0.002557,0.640406,0.022672,0.596913,0.001075,0.496314,0.001117,0.036443,0.001718,0.067991,0.001399,0.034553,0.000867,0.12388,0.000357,0.231206,0.000218,0.151303,0.000347,0.041142,0.001002,0.052157,0.001043,0.045771,0.000957,0.03333,0.000324,0.104713,0.003035,0.215953,0.0227,320
proposed_mechanism_coverage_audit_v4,7,0.590104,0.022106,0.593516,0.002563,0.641771,0.021455,0.596311,0.001104,0.496532,0.001223,0.036526,0.001718,0.067768,0.001417,0.034939,0.000876,0.123925,0.000355,0.231206,0.000218,0.151303,0.000347,0.040788,0.00103,0.05237,0.000995,0.045505,0.00094,0.03347,0.000326,0.104821,0.003064,0.206347,0.021057,320
proposed_mechanism_coverage_audit_v4,8,0.60625,0.02164,0.593797,0.002591,0.659252,0.021322,0.596442,0.00117,0.496188,0.001174,0.036494,0.001731,0.068062,0.001401,0.034618,0.00092,0.123983,0.000394,0.231206,0.000218,0.151303,0.000347,0.041126,0.001008,0.052342,0.001037,0.045881,0.000942,0.033347,0.000353,0.104849,0.003065,0.195878,0.021642,320
proposed_mechanism_coverage_audit_v4,9,0.598437,0.022339,0.593423,0.002506,0.650728,0.021853,0.596731,0.001064,0.497088,0.001212,0.03652,0.001695,0.067939,0.001378,0.034823,0.000888,0.123714,0.000393,0.231206,0.000218,0.151303,0.000347,0.041046,0.001016,0.052473,0.001041,0.046057,0.000939,0.033329,0.000328,0.104885,0.00299,0.193802,0.020786,320
mechanism_coverage_gap_audit_v5,0,0.659896,0.020815,0.647047,0.001972,0.735434,0.019418,0.684349,0.001115,0.568842,0.001152,0.010234,0.000835,0.051639,0.000828,0.027884,0.000536,0.100412,0.000392,0.192532,0.000218,0.122865,0.000229,0.034678,0.000598,0.042094,0.000601,0.036087,0.000572,0.027354,0.000245,0.062906,0.001509,0.14274,0.01832,320
mechanism_coverage_gap_audit_v5,1,0.663021,0.022091,0.647223,0.001959,0.737967,0.020688,0.684593,0.001141,0.568241,0.001137,0.010385,0.000828,0.051689,0.00088,0.027871,0.000537,0.10096,0.000385,0.192532,0.000218,0.122865,0.000229,0.034565,0.000589,0.042253,0.0006,0.036134,0.000583,0.027433,0.000249,0.063087,0.001571,0.139279,0.018562,320
mechanism_coverage_gap_audit_v5,2,0.655729,0.021632,0.647466,0.002015,0.732601,0.020486,0.684815,0.001091,0.568432,0.00119,0.010437,0.00085,0.051651,0.000845,0.027727,0.000541,0.100913,0.00035,0.192532,0.000218,0.122865,0.000229,0.034485,0.000589,0.042114,0.000642,0.035777,0.000541,0.027472,0.000249,0.063039,0.001539,0.146211,0.019754,320
mechanism_coverage_gap_audit_v5,3,0.635417,0.021171,0.646705,0.001939,0.713018,0.020151,0.683339,0.001071,0.568065,0.001164,0.011059,0.000865,0.051907,0.00087,0.027605,0.000568,0.100666,0.000352,0.192532,0.000218,0.122865,0.000229,0.0348,0.000579,0.042005,0.000607,0.036022,0.00059,0.027449,0.000256,0.063792,0.001598,0.150534,0.018946,320
mechanism_coverage_gap_audit_v5,4,0.655729,0.02049,0.646573,0.001987,0.733234,0.01944,0.684879,0.001031,0.568116,0.001226,0.010535,0.000858,0.051846,0.000841,0.028106,0.00055,0.100616,0.000377,0.192532,0.000218,0.122865,0.000229,0.034817,0.000598,0.04236,0.000619,0.036125,0.000591,0.027401,0.000257,0.063472,0.001563,0.143179,0.017868,320
